up_config,down_config,psi_squared
0011,0011,5.1205699930078145e-05
0011,0101,0.013958561146421015
0011,1001,0.0028066222077044473
0011,0110,0.002806622207704448
0011,1010,0.006651980998951195
0011,1100,0.044610410992559434
0101,0011,0.013958561146421081
0101,0101,0.004030612607581338
0101,1001,0.02366743130614187
0101,0110,0.02366743130614182
0101,1010,0.2253498517562801
0101,1100,0.018241883693122837
1001,0011,0.0028066222077044716
1001,0101,0.023667431306141785
1001,1001,0.0032893416935011093
1001,0110,0.06943146677220133
1001,1010,0.019430816253672087
1001,1100,0.002093253091725179
0110,0011,0.002806622207704465
0110,0101,0.023667431306141785
0110,1001,0.06943146677220151
0110,0110,0.003289341693501096
0110,1010,0.01943081625367215
0110,1100,0.002093253091725179
1010,0011,0.006651980998951159
1010,0101,0.22534985175627886
1010,1001,0.019430816253672066
1010,0110,0.019430816253672066
1010,1010,0.0042306641733724885
1010,1100,0.018314014626908383
1100,0011,0.0446104109925596
1100,0101,0.01824188369312285
1100,1001,0.0020932530917251962
1100,0110,0.002093253091725194
1100,1010,0.018314014626908456
1100,1100,2.722252741455052e-09
